"","Taxonomic_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sig","lab","xvals","yvals","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4050","4050",1.9018394045973,0.0647858889830336,0.865708302759936,0.0222241827618481,0.982269127298469,0.999599735494037,"NS",NA,0.0647858889830336,0.982269127298469,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Araliaceae",NA,NA
"4056","4056",8.76873021517124,0.137823864985328,0.852647560985011,0.198117364284125,0.84295323936667,0.999599735494037,"NS",NA,0.137823864985328,0.84295323936667,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae",NA,NA
"4070","4070",16.4880715132297,-0.557785609273555,0.705489310392625,-0.791652989170148,0.428563040633786,0.999599735494037,"NS",NA,-0.557785609273555,0.428563040633786,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Solanaceae",NA,NA
"4118","4118",5.60285368757257,0.37113403421856,0.828414278689224,0.407773357816378,0.683440075041196,0.999599735494037,"NS",NA,0.37113403421856,0.683440075041196,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Convolvulaceae",NA,NA
"4136","4136",39.3039134819103,0.419707443728559,0.759901020289289,0.504315880614266,0.614039419605923,0.999599735494037,"NS",NA,0.419707443728559,0.614039419605923,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae",NA,NA
"4144","4144",956.203570693899,0.833041015309645,0.719251690574528,1.21971875413619,0.222571509645926,0.999599735494037,"NS",NA,0.833041015309645,0.222571509645926,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae",NA,NA
"4196","4196",0.471005359938751,0.0871053718416595,0.697099491212644,0.16445923510001,0.869369635426644,0.999599735494037,"NS",NA,0.0871053718416595,0.869369635426644,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lentibulariaceae",NA,NA
"4200","4200",2.13890535112786,-0.264348135402492,0.868650373064324,-0.296336795357788,0.76697288852317,0.999599735494037,"NS",NA,-0.264348135402492,0.76697288852317,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Caprifoliaceae",NA,NA
"4210","4210",177.804469927448,0.600272762119977,0.650067680777655,0.965902885759102,0.334092778218859,0.999599735494037,"NS",NA,0.600272762119977,0.334092778218859,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"4294","4294",2.49282454909124,0.53302522628538,0.869667948647683,0.709848565848017,0.477798048660771,0.999599735494037,"NS",NA,0.53302522628538,0.477798048660771,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Aquifoliales","Aquifoliaceae",NA,NA
"4345","4345",3.23812172293857,-0.643688850900884,0.852674075867226,-0.73873086143607,0.460070441933732,0.999599735494037,"NS",NA,-0.643688850900884,0.460070441933732,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae",NA,NA
"4374","4374",0.946650682610104,-0.0188101070651707,0.801112944476426,-0.0597761167941927,0.952333947591164,0.999599735494037,"NS",NA,-0.0188101070651707,0.952333947591164,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Nepenthaceae",NA,NA
"4381","4381",5.21876560674018,0.529513422855748,0.86232124718943,0.927558685880873,0.353636536713783,0.999599735494037,"NS",NA,0.529513422855748,0.353636536713783,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Campanulaceae",NA,NA
"4410","4410",0.592889791159062,0.124463297854909,0.782921751741095,0.163573248286437,0.87006710578733,0.999599735494037,"NS",NA,0.124463297854909,0.87006710578733,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",NA,NA
"4429","4429",0.626122256666666,-0.0261506262467471,0.758296864679766,-0.0467613839849576,0.962703406461639,0.999599735494037,"NS",NA,-0.0261506262467471,0.962703406461639,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Proteales","Nelumbonaceae",NA,NA
"4434","4434",0.57025084771729,0.345354602217394,0.737136213976775,0.546356782446249,0.584820711406684,0.999599735494037,"NS",NA,0.345354602217394,0.584820711406684,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Bataceae",NA,NA
"4437","4437",1.95960700988386,-0.293060483035369,0.867040313624462,-0.314401939163246,0.75321578353159,0.999599735494037,"NS",NA,-0.293060483035369,0.75321578353159,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae",NA,NA
