"","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7"
"82528",2.53168887956094,0,0.598418607349836,0,2.55543174192099,0,0,0
"82541",0,0,0,0,0,0,0,0
"82688",3.79753331934142,4.68687780055918,20.3462326498944,37.9840819370131,16.8658494966785,11.5801624899089,17.9584485779821,5.49077573391586
"82987",322.79033214402,0,16.7557210057954,0,444.645123094252,3.30861785425969,45.4947363975547,5.49077573391586
"82996",10.1267555182438,0,0,0,24.0210583740573,10.4772898718223,0,0
"83485",13.9242888375852,0,0,0,5.62194983222618,0,0,0
"85433",1.26584443978047,0,0,0,0.511086348384198,1.10287261808656,0,0
"85681",1.26584443978047,3.74950224044735,5.38576746614852,1.72654917895514,0.511086348384198,1.10287261808656,1.79584485779821,0
"88271",1.26584443978047,0,0,0,0,0,0,0
"88726",32.9119554342923,0,0,0,3.06651809030519,0,0,0
"88730",5.06337775912189,0,0,0,2.04434539353679,0,0,0
"88731",7.59506663868283,0,0,0,1.53325904515259,0,0,0
"88732",34.1777998740727,0,0,0,2.55543174192099,0,0,0
"91201",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"91915",0,0,0,0,0,0,0,0
"94286",5.06337775912189,5.62425336067102,1.19683721469967,5.17964753686542,1.0221726967684,15.9916529622552,0,0
"99658",36.7094887536337,0,4.78734885879869,1.72654917895514,11.2438996644524,1.65430892712984,1.19722990519881,0
"99802",11.3925999580242,6.56162892078286,22.7399070792938,58.7026720844748,4.08869078707359,1.10287261808656,4.19030466819583,658.893088069903
"100272",1.26584443978047,0,0.598418607349836,1.72654917895514,0,0.551436309043281,0.598614952599404,0
"104421",2.53168887956094,0,0,0,0.511086348384198,0,0,0
"106654",2.53168887956094,0,0,0,5.11086348384198,0,0,0
"108981",1.26584443978047,1.87475112022367,0,0,1.53325904515259,0,0.598614952599404,5.49077573391586
"109461",10.1267555182438,13.1232578415657,5.98418607349836,10.3592950737308,9.19955427091557,3.86005416330297,7.78199438379225,0
"111789",3.79753331934142,4.68687780055918,4.18893025144885,10.3592950737308,0,0,2.39445981039762,142.760169081812
"111886",8.8609110784633,0.937375560111837,0.598418607349836,0,7.15520887737877,1.65430892712984,2.39445981039762,10.9815514678317
"114090",1.26584443978047,0,0,1.72654917895514,3.06651809030519,0,4.19030466819583,0
"114398",13.9242888375852,0,0,0,7.66629522576297,0,0,5.49077573391586
"118613",1.26584443978047,0.937375560111837,0,1.72654917895514,0,0,0.598614952599404,0
"119219",1.26584443978047,2.81212668033551,2.39367442939934,1.72654917895514,0,0,1.19722990519881,27.4538786695793
"121482",25.3168887956094,0,2.39367442939934,1.72654917895514,12.777158709605,0,1.19722990519881,0
"123495",3.79753331934142,0,0,0,0.511086348384198,0,0,0
"126385",2.53168887956094,0,0.598418607349836,0,1.0221726967684,0,0,0
"126820",8.8609110784633,0.937375560111837,0.598418607349836,0,7.66629522576297,0.551436309043281,0,0
"131568",0,0,0,0,0,0,0,0
"133901",17.7218221569266,4.68687780055918,11.9683721469967,3.45309835791028,6.64412252899458,0,14.3667588623857,21.9631029356634
"134534",1.26584443978047,0,1.79525582204951,0,2.55543174192099,0,0,0
"136037",1.26584443978047,0,0,0,0,0,0,0
"138025",25.3168887956094,0.937375560111837,2.39367442939934,1.72654917895514,17.8880221934469,0,1.19722990519881,0
"138072",10.1267555182438,0,2.39367442939934,0,17.8880221934469,0.551436309043281,1.19722990519881,0
"138074",30851.1606863297,194.974116503262,211.840187001842,371.208073475355,27619.1062666821,8224.1211130715,377.127420137624,527.114470455922
"140035",140.508732815632,0,0,0,145.148522941112,0,0,0
"141186",1.26584443978047,0,1.79525582204951,1.72654917895514,2.55543174192099,0.551436309043281,3.59168971559642,0
"143995",3.79753331934142,0,0,0,3.06651809030519,0,1.19722990519881,0
"148814",29903.0432009341,30334.4105007791,25560.2539757335,40062.8471484751,76324.102008651,31136.8511901289,45726.9989991633,7192.91621142977
"150340",1.26584443978047,0,0,0,0,0,0,0
"150396",1.26584443978047,0,0,0,0,0,0,0
"152682",0,0.937375560111837,0,0,0,0.551436309043281,0,0
"154679",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"156630",6.32922219890236,0,1.79525582204951,0,0.511086348384198,1.10287261808656,0,0
"158836",46.8362442718775,0,0.598418607349836,1.72654917895514,36.7982170836623,1.10287261808656,2.99307476299702,16.4723272017476
"161014",1.26584443978047,0.937375560111837,0.598418607349836,1.72654917895514,0,0,0,0
"162639",1.26584443978047,0,0,0,0,0,0,0
"166361",7.59506663868283,0,0,0,5.62194983222618,0,0,0
"179676",1.26584443978047,0,1.19683721469967,1.72654917895514,0,0.551436309043281,0,0
"180536",0,0,0,0,0,0,0,0
"182337",0,0,0,0,0,0,0,0
"185543",6.32922219890236,1.87475112022367,4.18893025144885,1.72654917895514,4.08869078707359,2.20574523617312,0,0
"188349",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"189793",2.53168887956094,0,0,3.45309835791028,1.53325904515259,0,0.598614952599404,0
"190062",1.26584443978047,0,0,0,0,0,0,0
"190760",6.32922219890236,0,0,1.72654917895514,5.62194983222618,0,1.19722990519881,0
"190895",1.26584443978047,0,0,0,0,0,0,0
"191923",12.6584443978047,0.937375560111837,1.19683721469967,0,10.7328133160682,0,2.39445981039762,0
"196914",0,0,0,0,0,0,0,0
"200991",1.26584443978047,0,0,0,0,0,0,0
"207340",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"207710",5.06337775912189,0,0,1.72654917895514,3.57760443868939,0,0,0
"208223",6.32922219890236,0,5.38576746614852,0,2.04434539353679,0,20.9515233409791,5.49077573391586
"209274",1.26584443978047,0,0,0,2.55543174192099,0.551436309043281,0,0
"210225",1.26584443978047,0,0.598418607349836,1.72654917895514,0.511086348384198,0.551436309043281,0,0
"215173",2.53168887956094,0,0,0,0.511086348384198,0,0,0
"216142",5.06337775912189,0.937375560111837,1.19683721469967,5.17964753686542,2.04434539353679,1.10287261808656,7.78199438379225,10.9815514678317
"216778",22.7851999160485,0,0,0,10.7328133160682,0,0,5.49077573391586
"217165",1.26584443978047,0,1.79525582204951,1.72654917895514,0,0.551436309043281,0.598614952599404,5.49077573391586
"220873",1.26584443978047,0,0,0,0,0,0,0
"221166",2.53168887956094,0,0.598418607349836,1.72654917895514,1.53325904515259,0.551436309043281,0.598614952599404,0
"223102",13.9242888375852,12.1858822814539,27.5272559380925,8.6327458947757,33.7316989933571,3.86005416330297,19.1556784831809,5.49077573391586
"223104",2.53168887956094,0,0.598418607349836,0,0,0,0,0
"223129",2.53168887956094,0,1.79525582204951,0,1.53325904515259,0.551436309043281,0,0
"225117",3.79753331934142,0,1.19683721469967,3.45309835791028,1.0221726967684,3.30861785425969,0.598614952599404,0
"226208",15.1901332773657,0.937375560111837,30.5193489748416,6.90619671582056,10.221726967684,0,14.3667588623857,0
"229543",1.26584443978047,0.937375560111837,2.39367442939934,1.72654917895514,1.53325904515259,10.4772898718223,0.598614952599404,0
"244366",1.26584443978047,0,0.598418607349836,0,1.53325904515259,0,0,0
"253237",2.53168887956094,0,0,0,1.0221726967684,0,0,0
"256701",0,0,0,0,0,0,0,0
"256839",2.53168887956094,0,0.598418607349836,0,1.0221726967684,0,2.99307476299702,0
"263437",18.9876665967071,0,0,0,16.8658494966785,0,0,0
"271420",1.26584443978047,0,0,0,1.53325904515259,0,0,0
"291112",1.26584443978047,0,0,0,0,0,0,0
