"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"105","12058",1,0,0,0,0,0,0,0,"Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae",NA,NA
"106","16733",25,3,2,2,7,1,7,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Austrobaileyales","Schisandraceae",NA,NA
"107","21910",1,0,4,34,1,0,3,25,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Verbenaceae",NA,NA
"108","22097",3,5,2,2,9,4,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Amborellales","Amborellaceae",NA,NA
"109","22973",3,0,0,0,2,1,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Chrysobalanaceae",NA,NA
"110","23513",36,189,91,57,28,75,85,33,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Rutaceae",NA,NA
"111","23672",26,0,6,2,11,3,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae",NA,NA
"112","24079",147,0,1,0,217,0,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Bignoniaceae",NA,NA
"113","25673",13,3,1,4,7,0,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Santalales","Balanophoraceae",NA,NA
"114","26122",26,0,3,2,19,4,4,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Gesneriaceae",NA,NA
"115","26339",4,0,1,0,4,2,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Iridaceae",NA,NA
"116","27065",5,5,8,0,4,8,6,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Theaceae",NA,NA
"117","27319",1,2,0,0,0,0,1,0,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae",NA,NA
